Crop,Name of the Crop,Treatment No.,Treatment Name,Replication,Dry weight (in grams)
1,AdB,1,Control,1,NA
2,Bar,1,Control,1,10.42
3,BlG,1,Control,1,10.46
4,Can,1,Control,1,10.08
5,Chi,1,Control,1,7.88
6,Cot,1,Control,1,10.68
7,Cow,1,Control,1,15.12
8,FaB,1,Control,1,8.04
9,FiP,1,Control,1,10.58
10,FrB,1,Control,1,13.9
11,Lab,1,Control,1,17.34
12,Len,1,Control,1,6.94
13,Luc,1,Control,1,6.74
14,Lup,1,Control,1,7.92
15,Mai,1,Control,1,14.28
16,Mil,1,Control,1,14.18
17,MuB,1,Control,1,12.9
18,NaB,1,Control,1,7.7
19,Oat,1,Control,1,9.68
20,Pea,1,Control,1,7.48
21,PiP,1,Control,1,NA
22,SnM,1,Control,1,6.68
23,Sor,1,Control,1,8.12
24,Soy,1,Control,1,12.28
25,WhC,1,Control,1,6.76
26,Whe,1,Control,1,7.72
27,WPV,1,Control,1,6.88
1,AdB,2,NB089,1,NA
2,Bar,2,NB089,1,9.94
3,BlG,2,NB089,1,NA
4,Can,2,NB089,1,10.96
5,Chi,2,NB089,1,8.12
6,Cot,2,NB089,1,10.2
7,Cow,2,NB089,1,15.16
8,FaB,2,NB089,1,8.04
9,FiP,2,NB089,1,9.46
10,FrB,2,NB089,1,15.1
11,Lab,2,NB089,1,14.26
12,Len,2,NB089,1,6.8
13,Luc,2,NB089,1,7.48
14,Lup,2,NB089,1,8
15,Mai,2,NB089,1,11.1
16,Mil,2,NB089,1,14.18
17,MuB,2,NB089,1,11.28
18,NaB,2,NB089,1,7.18
19,Oat,2,NB089,1,9.52
20,Pea,2,NB089,1,7.18
21,PiP,2,NB089,1,NA
22,SnM,2,NB089,1,6.68
23,Sor,2,NB089,1,6.98
24,Soy,2,NB089,1,11.1
25,WhC,2,NB089,1,6.62
26,Whe,2,NB089,1,7.46
27,WPV,2,NB089,1,6.92
1,AdB,3,DA274,1,NA
2,Bar,3,DA274,1,9.08
3,BlG,3,DA274,1,NA
